1.813048804589517147e+02,2.559961137192736658e+02,7.882560112340468095e+02,1.791921729010612419e+00
3.061390681840621824e+02,1.963498385216311419e+02,8.540452606825308521e+02,1.624314120586501486e+00
2.405354718354302008e+02,4.066396170384476818e+02,9.074757337715790300e+02,8.150757256973001574e+00
1.601635237362671660e+02,2.813935886710570458e+02,8.055051233634710570e+02,3.434143477021955437e+00
1.291242088608700556e+02,1.984623001932978923e+02,7.319797146638306913e+02,4.175094045487866445e+00
4.289021154180977646e+02,4.004736137047837019e+02,4.484048312159453076e+02,1.228793344754955053e+00
4.093779207888394467e+02,3.954695794609234554e+02,-1.147716989936228913e+02,5.902898089006619609e-01
4.143771141255792827e+02,1.624273547066087531e+02,-1.569998622267322119e+01,1.555181648749426326e+00
8.838085145360368244e+01,1.143230711913176521e+02,1.653096964559043954e+03,1.103474267018638377e+00
3.896685581644488821e+02,2.260148755357441246e+02,-4.146417743493128683e+02,8.435176202372943743e-01
3.465107788464994201e+02,2.604515945586302905e+02,4.822218951885251386e+02,1.382063450364716672e+00
3.281931225177626175e+02,2.607465267733646215e+02,2.567233278448579767e+02,1.583749928766837956e+00
5.535049928356587543e+02,3.053462469460562829e+02,3.117443370569109220e+02,1.405279226101750822e+00
4.983353773142048340e+02,4.601226790092958936e+02,7.527811480559048505e+02,6.972054494752357279e+00
4.692384204919612785e+02,3.162869128639209748e+02,8.045075110746283826e+02,3.695639293201914644e+00
4.702386305357265428e+02,4.004388787262467986e+02,1.867173370714678185e+03,4.857993127589197435e-01
4.247354842966579440e+02,2.860067896420912916e+02,4.096025021103733366e+02,1.757433777636806971e+00
3.449014390276030326e+02,2.753211109599732254e+02,6.841699046764372270e+02,6.066967846185364444e+00
2.087819068879251745e+02,1.902606129764596119e+02,3.787705025833254240e+02,3.456618605260357024e-01
2.732118575535505443e+02,2.451946469201694754e+02,4.337435063709051519e+02,1.469033902791447854e+00
1.570062690719947796e+02,2.800443272286628371e+02,5.286129847818401686e+02,7.862448461774245168e-01
4.566892916273375249e+02,1.975262934973260940e+02,3.964702774365299547e+02,1.743464763709175136e+00
2.795217005653620959e+02,2.866713325208713741e+02,8.492884859313371635e+02,1.241144709086032361e+00
1.191144672802306275e+02,3.147258375555319390e+02,8.846176512764197923e+02,7.037977630290940922e+00
4.236730461012355136e+02,4.567339376936246254e+02,3.908279037007640113e+02,3.816641237385095753e+00
