,chn_0,chn_1,chn_2,chn_3,chn_4,chn_5,chn_6,chn_7,chn_8,chn_9,chn_10,chn_11,chn_12,chn_13,chn_14,chn_15,chn_16,chn_17,chn_18,chn_19,chn_20,chn_21,chn_22,chn_23,chn_24,chn_25,chn_26,chn_27,chn_28,chn_29,chn_30,chn_31,chn_32,chn_33,chn_34,chn_35,boardID
0,401.0,393.0,402.0,418.0,400.0,408.0,404.0,403.0,416.0,406.0,401.0,392.0,412.0,397.0,401.0,401.0,406.0,411.0,399.0,399.0,394.0,404.0,414.0,407.0,407.0,396.0,404.0,410.0,400.0,400.0,415.0,417.0,406.0,0.0,0.0,0.0,0.0
1,461.0,455.0,444.0,457.0,456.0,445.0,459.0,446.0,459.0,462.0,466.0,457.0,455.0,465.0,452.0,459.0,447.0,472.0,446.0,456.0,482.0,456.0,449.0,460.0,468.0,455.0,453.0,453.0,470.0,464.0,449.0,457.0,456.0,0.0,0.0,0.0,1.0
2,465.0,450.0,452.0,455.0,448.0,455.0,467.0,452.0,461.0,459.0,471.0,465.0,462.0,459.0,461.0,465.0,467.0,470.0,451.0,465.0,441.0,462.0,453.0,471.0,464.0,452.0,463.0,456.0,451.0,462.0,463.0,465.0,465.0,0.0,0.0,0.0,2.0
3,432.0,437.0,427.0,423.0,433.0,433.0,423.0,426.0,424.0,431.0,429.0,425.0,432.0,433.0,432.0,427.0,438.0,432.0,428.0,434.0,431.0,441.0,442.0,436.0,424.0,424.0,424.0,438.0,435.0,418.0,427.0,431.0,0.0,0.0,0.0,0.0,3.0
4,411.0,409.0,401.0,415.0,414.0,419.0,410.0,421.0,408.0,416.0,420.0,409.0,413.0,415.0,413.0,415.0,424.0,414.0,411.0,421.0,413.0,418.0,414.0,408.0,402.0,404.0,404.0,411.0,425.0,410.0,409.0,409.0,0.0,0.0,0.0,0.0,4.0
5,405.0,415.0,421.0,428.0,420.0,414.0,427.0,421.0,418.0,429.0,423.0,421.0,418.0,428.0,422.0,417.0,426.0,423.0,427.0,411.0,419.0,415.0,419.0,425.0,420.0,439.0,423.0,422.0,414.0,425.0,427.0,438.0,0.0,0.0,0.0,0.0,5.0
6,417.0,413.0,410.0,411.0,410.0,407.0,415.0,412.0,408.0,412.0,413.0,410.0,411.0,407.0,413.0,400.0,412.0,410.0,411.0,423.0,405.0,422.0,422.0,412.0,413.0,415.0,415.0,423.0,411.0,427.0,424.0,418.0,0.0,0.0,0.0,0.0,6.0
7,436.0,431.0,433.0,438.0,440.0,434.0,432.0,443.0,436.0,448.0,428.0,427.0,433.0,434.0,429.0,448.0,434.0,436.0,431.0,444.0,432.0,431.0,427.0,432.0,439.0,436.0,434.0,441.0,445.0,440.0,424.0,432.0,0.0,0.0,0.0,0.0,7.0
