,ax,ay,az,bx,by,bz,cx,cy,cz,dx,dy,dz,pocax,pocay,pocaz
0,7.787838631885372,9.088070062905157,3.6,13.044320314173007,8.913972799378726,41.95,24.43416910534828,7.692951207925362,104.35,29.635027939422464,7.083924144226792,142.7,16.04029355921314,8.106291837315604,53.725362299692065
1,40.00449438202247,9.067075340331616,3.6,30.95561797752809,14.864892902098756,41.95,11.255617973662641,28.04898944021801,104.35,2.6257886394146492,33.43153586506601,142.7,129.83492136139296,-47.44192431991894,-396.9286745622752
2,46.415679530637306,40.5185138319105,3.6,36.00642417756349,34.35054738766328,41.95,14.587437871538878,22.094513644180086,104.35,5.439079007624359,17.717912984428047,142.7,63.44525273985507,49.800483676787486,-71.96429537362489
3,15.910569166972998,26.86304347826087,3.6,22.410324625449555,24.36195652173913,41.95,37.898569138374825,20.735288253395566,104.35,45.07352957458609,18.380679254700034,142.7,66.70915517145475,9.918948489697142,274.74580376324303
4,37.37954668266299,18.589549590118125,3.6,29.62258505896992,20.260160748920516,41.95,13.363605337050089,24.32651922543856,104.35,6.025637755781506,26.136368964263472,142.7,86.55728008912044,7.505640289996684,-255.51858957021943
5,22.78801603995362,47.83261893373728,3.6,24.88672384200404,39.88257414384136,41.95,29.064385382697044,24.76413157575796,104.35,31.059240629372773,13.57293910400412,142.7,24.523024860350883,40.410642331274815,28.96271288324236
6,47.31692040779133,28.086937847056152,3.6,40.04022530745727,30.269082017609996,41.95,17.544534395455667,35.732284335635384,104.35,5.297101397819012,39.73725743571873,142.7,22.339089929982244,35.27027941600523,80.7916781551663
7,31.93012820613169,43.939801542020575,3.6,28.29611307331703,44.561492839627775,41.95,23.285149219274224,46.50654910726988,104.35,20.680826112018163,47.517561317970674,142.7,29.05001727584604,45.27848515239014,44.558093919416265
8,46.36304347826087,43.17995101245004,3.6,43.86195652173913,34.91700661412741,41.95,38.29272272710627,16.99161912793206,104.35,36.09644066917311,8.753380201772227,142.7,59.35022534240229,89.18987374557216,-220.67368449342297
9,44.06676684958653,29.21440878451738,3.6,38.33019489784066,24.836956367700807,41.95,26.845958866026553,16.202079620720113,104.35,22.29045919447535,11.873464272868816,142.7,52.52565989881134,36.52213716418993,-67.44166578446661
10,31.2876404494382,3.562057493272942,3.6,27.40955056179775,8.38139229394215,41.95,19.01503195179284,18.482569528340026,104.35,15.132785230743595,21.69396529691286,142.7,35.63207896057681,-0.8847033789081458,-49.63942382696426
11,16.60618348744305,43.5,3.6,23.293751017078876,43.5,41.95,38.36936289151396,43.5,104.35,45.167584511864185,43.5,142.7,274.28065592424275,43.5,1457.1883897003906
12,24.304128274653138,36.068354038434926,3.6,25.348813483469815,31.306779364756107,41.95,28.98443136837102,21.084782608695654,104.35,30.69668417731374,16.082608695652176,142.7,30.41368138247131,16.624361331141834,146.62309511971296
